,equity,drawdown,capital
2020-08-13,91444.73849337634,-0.10935372971968964,135269.8996477689
2020-08-14,92289.59353723741,-0.10112507702583483,135269.8996477689
2020-08-17,92334.11737080484,-0.10069142729421807,135269.8996477689
2020-08-18,93127.76950759214,-0.09296147664669337,135269.8996477689
2020-08-19,94087.56380011464,-0.08361334770066967,135269.8996477689
2020-08-20,92007.91191891716,-0.10386857749285866,135269.8996477689
2020-08-21,92733.79007630014,-0.09679872651834993,135269.8996477689
2020-08-24,92761.44415308499,-0.09652938351674842,135269.8996477689
2020-08-25,93638.66009063457,-0.0879855447362857,135269.8996477689
2020-08-26,93967.81079313536,-0.08477970861741806,135269.8996477689
2020-08-27,93468.5241779869,-0.0896426211141832,135269.8996477689
2020-08-28,94254.15244285011,-0.0819908207432094,135269.8996477689
2020-08-31,95478.07440651962,-0.07007016188392079,135269.8996477689
2020-09-01,94033.79578592787,-0.08413703317546926,135269.8996477689
2020-09-02,95555.47488201607,-0.06931630282155567,135269.8996477689
2020-09-03,97559.73034767005,-0.04979541310625578,135269.8996477689
2020-09-04,99652.07595566146,-0.029416549952418592,135269.8996477689
2020-09-07,102149.11547225683,-0.005096080903679355,135269.8996477689
2020-09-08,102849.68660102559,0.0,135269.8996477689
2020-09-09,103740.88448400865,0.0,135269.8996477689
2020-09-10,104914.02353681251,0.0,135269.8996477689
2020-09-11,105748.7877862259,0.0,135269.8996477689
2020-09-14,106150.66699408754,0.0,135269.8996477689
2020-09-15,106700.3157377283,0.0,135269.8996477689
2020-09-16,106377.01983048976,-0.0030299433043217074,135269.8996477689
2020-09-17,105055.5710212856,-0.015414619020299038,135269.8996477689
2020-09-18,104427.63818581747,-0.021299632866102522,135269.8996477689
2020-09-21,105057.56960016531,-0.0153958882521107,135269.8996477689
2020-09-22,103360.12179369651,-0.031304442924443295,135269.8996477689
2020-09-23,103520.49881818963,-0.029801382475331487,135269.8996477689
2020-09-24,105188.96179955805,-0.014164474844528093,135269.8996477689
2020-09-25,106679.63652857403,-0.00019380644763136216,135269.8996477689
2020-09-28,107492.76319218846,0.0,135269.8996477689
2020-09-29,107067.64731965758,-0.003954832492033019,135269.8996477689
2020-09-30,103722.30001157701,-0.03507643741439749,135269.8996477689
2020-10-01,103969.87096466965,-0.03277329675877956,135269.8996477689
2020-10-02,104114.4336269546,-0.03142843727250432,135269.8996477689
2020-10-05,102327.48718495746,-0.04805231397760149,135269.8996477689
2020-10-06,103165.8228406415,-0.04025331774019742,135269.8996477689
2020-10-07,104534.27022198561,-0.027522717644845512,135269.8996477689
2020-10-08,105825.10997764023,-0.015514097554331203,135269.8996477689
2020-10-09,108283.17646841699,0.0,135269.8996477689
